benchmark,YalSAT-DDFW,TaSSAT-LiWeT,UBCSAT-DDFW,YalSAT-prob 
2883d4bcaa15427ed548e6ba9c0651fb-ezfact48_8.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e062922ecfb5a1b9783c42740bfdde1e-instance_n4_i5_pp_ci_ce.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f5076f06d3ce3c6e3e45c1393ab0a73f-gensys-brn002.shuffled-as.sat05-2746.cnf.xz,0.02,0.01,0.02,0.05
55b28c145c5fd6a471d19de14f47ee38-clqcolor-20-13-14.shuffled-as.sat05-1254.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
58e73745a4af8955a05855fb416bc1a7-battleship-10-10-unsat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
11ba9953b9ae8475f05de36bfd6ec21f-3col80_5_4.shuffled.cnf.xz,0.02,0.03,2.21,0.03
42692fdcdc23cb9e02add11e7e1fd6a2-SGI_30_70_20_60_10-log.shuffled-as.sat03-145.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8bf7748864d530e7cbe1091873d3c42e-course0.16_2018_3_5.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2a3365659589da4f9812e5d96d3935b0-vlsat2_35929_5082743.dimacs.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cc91e954905f39e3a40a8fb22c4ac6da-g2-slp-synthesis-aes-top25.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8390dca257561c53bf4eb6e158a2285f-mp1-klieber2017s-0490-024-t12.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
68bb64e29c74a15f2c8cb1828ddcc3fd-289-sat-11x4.cnf.mis-131.debugged.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e56574f1f795cdcb24a268e0e637b3a9-gensys-ukn003.shuffled-as.sat05-3843.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ccfe15077c8b8b41fc7d96deadb70af8-C3-2-31.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
78b0cfff7367332d38fd7c6a30be312c-prime2209-71.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
52e061336fa28b95e5824f6532a5e287-SGI_30_80_28_70_8-log.shuffled-as.sat03-216.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
eef7f77b7e1bdfb41d420ccd8225262a-gensys-icl008.shuffled-as.sat05-3829.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0506d033a4ca469af10d95dbf36a86e9-em_7_4_9_cmp.cnf.xz,197.93,1241.82,3020.94,2318.78
4afd946cbaa6f41aa61dda47347dc973-170222843.cnf.xz,0.13,0.34,0.19,0.02
a5f77cc99c37257f1915613d4dee4c0b-1dlx_c_iq57_a.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
dd5eb1bc337be11ab832e945a0c6cb6d-gss-15-s100.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
125b1b687d66d1b60ac2356117fef571-9vliw_m_9stages_iq3_C1_bug8.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
5e933a625099cc1ec6a8299a7848a2ae-Kakuro-easy-112-ext.xml.hg_7.cnf.xz,TIMEOUT,1822.94,TIMEOUT,TIMEOUT
2ea58bf02696a704fcbc2b09ecc0b180-par32-5-c.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
681b6efef89c7fbb930b76ea0ab917de-combined-crypto1-wff-seed-3-wffvars-450-cryptocplx-40-overlap-2.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
986fa07aad63a9be45360bdf9c8b0e0e-SGI_30_60_24_40_2-log.shuffled-as.sat03-119.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9dcbf221b8d2bb01f30bcca283f3608d-EDP3-11000.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9e846d0ed491ae2620410eecbb3096c7-crafted_n10_d6_c3_num5.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
628d9602191ea1fc51dfc83668513895-hcp_CP24_24.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
23ddc17bdbd97b96fcc0393f51bcfe13-22930-0601-11.smt2.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4c29bdee73acf1a9dee934107214e2e9-knight_20.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
bb15e9530d42642f3f9b9551364d4b32-abw-N-bcsstk07.mtx-w38.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d23bf408255166c66f8e54a735cd095a-crafted_n11_d6_c3_num24.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
f293dc11e842227dd1a49fe1571bcb8b-mp1-tri_ali_s11_c35_abix_UNS.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
32a7129c1bf7922f8cfa7748db5b5268-b2005-p3-14x14c17h9-Ser3-0.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a2e950fdbbf83a939cbbf48ed0b7339f-dp07u06.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
895f53159d4efbb00d87331bbb1ece57-manthey_DimacsSorterHalf_29_8.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2bfc581025f4136b5a0613e8a1c210e6-hitag2-10-60-0-0xe14721bd199894a-99.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4c0a07b097b2aeb19a69229fc59c5c57-easier-fphp-035-029.sat05-1221.reshuffled-07.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a59f518803335f29597f83d616e42901-T122.2.0.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8e4e5a8d8b1a86288d58b0779c70c871-urqh1c3x3.shuffled-as.sat03-1463.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e73df658b6c24164661fb43ede9bc442-SAT_dat.k100.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0ff3de964d342de828b09a544fb51f55-minand128.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b75fa7eb16af7691471a7e99c673f2e9-sncf_model_ixl_bmc_depth_10.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1120bee8e16a37c21c4a7aed604514ae-sgp_5-6-8.shuffled-as.sat05-2669.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
410539f411ecf4606d8f23cae5ac32b9-AProVE11-01.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e78648c1e76bffea04d6b5c78762a4e6-fphp-030-029.shuffled-as.sat05-1234.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e1359f71ada0b66d6c4a71d6e927e130-g2-hwmcc15deep-6s399b03-k02.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
11620a549d04bb04d5c9e4f7f24ebbf9-tseitingrid6x180_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8a37400e66bf1cebf0145e95ee95da7f-abw-Q-494_bus.mtx-w242.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
40f01c313adaaf86672576676efe6a53-jgiraldezlevy.2200.9086.08.40.93.cnf.xz,280.35,50.44,58.63,8.21
69b4f3e5329c1d1460a2237d96e3e705-sgen1-unsat-151-100.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b7eff8e18bcc8d6a4688491ee81f3eb5-hitag2-10-60-0-0xa360966c6eb75c4-62.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ca3cf0bdc9f9a7d5f9024c8df7e04756-SGI_30_60_23_50_8-dir.shuffled-as.sat03-116.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1169b7c01112d97a6835d259052284ba-driverlog3_v01a.shuffled-as.sat05-4030.cnf.xz,0,0,0,0
0779ed19ae69bf464cce003d1a573246-008.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d7250f69bc0db9bd46a3252e8f0e9eaa-total-5-17-u.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
60317159a0e3c8391d60103eb0b3d530-8-4-8.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
44fd38bd0c5fc7336be468161dee4eda-post-cbmc-aes-ee-r3-noholes.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
9b5f767eb5c14eb888d51acf70e045c8-uniqinv40prop.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
27f381d4d67c90c8c6a6a186cd51e94a-par32-5.shuffled-as.sat03-1540.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
a1ea829f416e203461b3f565f8ae3826-Schur_160_5_d29.cnf.xz,TIMEOUT,TIMEOUT,1964.26,TIMEOUT
a579604efe04d2aa865386c741cce70e-TimetableCNFEncoding_2_UNKNOWN.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
32bed31ddefe3725cce5b267ef36c489-sv-comp19_prop-reachsafety.fib_bench_longest_false-unreach-call.i-witness.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
27b4fe4cb0b4e2fd8327209ca5ff352c-grid_10_20.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e64c8da09f22e672aed8703dfc97b3a6-iso-icl003.shuffled-as.sat05-2728.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e3e8cf23d3a7469a3907b1f40931fa4d-6s133.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
6f24965c8737ff3f427c072958fe35b4-bevhcube4.shuffled-as.sat03-1426.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0167ead7da1e981805564ca981f64bea-aim-200-6_0-yes1-4.cnf.mis-135.debugged.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
589c28edb78dff1b711977fbaec34e18-hanoi5u.shuffled-as.sat03-401.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
5cc1142a0b6df4219e5d9b43c13c0477-EDP3-9000.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c52ad9f8fec393a1f4b421aa14af75d3-at-least-two-vmpc_26.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ba09d31baa6d034db84d5299d302d397-anbul-part-10-15-s.cnf.xz,TIMEOUT,496.81,TIMEOUT,TIMEOUT
71f0b3190b8b37d31e4e800e749336da-quad_res_r34_m36.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
51574b22bae25a1f18d1e640958c1115-ex145_10.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
aadcf9dcd39cfb3bf5a60a920e39c496-SAT_instance_N=69.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1001a2a87617b59d50cc24f324533090-ca016.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ddc0720fa5a91d9cc0dc726644ab9e9f-6s167-opt.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
03cb9868146a1c420ba8e3b1b08865b8-3col300_5_2.shuffled.cnf.xz,10,0.13,6.84,2.96
18a8fe99d35fd98a968a2cf53d7f235c-ecgrid6x175_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
fb1defc9f48b401612b1dcdddfaa69d5-mp1-ps_5000_21250_3_0_0.8_0_1.50_2.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8226a866770c4e3da127e54ca0dbd496-SC21_Timetable_C_466_E_62_Cl_31_S_30.cnf.xz,TIMEOUT,414.36,TIMEOUT,TIMEOUT
8000ee90ae5c404e10799eded4477ecb-jgiraldezlevy.2200.9086.08.40.85.cnf.xz,0.65,0.5,6.26,0.56
18faad09a2e931cdfb4c8d7b1f2ef35f-rotmul.miter.used-as.sat04-336.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cfb196665cc0598c7fb6d2afe6eb4a57-pb_200_03_lb_02.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
df13625b6e8eb436cd884f5593c7216d-rphp5_035_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e2a4efb9bfa8fd8af53fc9952d62e0fe-div2.c.20.smt2-stp212.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ca84d59560f424f43ba7edc8540a0318-AProVE09-20.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
29e101b66dfddb440e974b9feec5b1aa-spg_200_307.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
308ca488c6257e647108a340e3119c62-srhd-sgi-m62-q1504.5-n60-p30-s88600538.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
60e3c2ba930b94c6b300ceeaf0ea5831-20-100-frag12-0_sat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
128a20596924fe6ceb5a61144dcf4253-Robertson-k8.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
395cc53a5c27993ed5410d609d68a4bf-color-10-3.shuffled-as.sat03-1483.cnf.xz,0,0.33,0.69,0.17
c417dcf37c4cc9573e482089c38d3b63-Schur_161_5_d41.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2593ce669baab42240c2fb85e807452c-complete-400-0.1-3-9876543214003.cnf.xz,591.32,1469.82,578.69,11.23
4757eea090ae6aa5f7187fa62a5c4c86-hard-6-U-7061.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4a00f482957850eed1b7ac2ec53d43ea-dislog_a12_x12_n22.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
e5e81b88152c18f060d4d4617750ea23-ibm-2002-23r-k90.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0b348eb6b61e4f0026437fda402c9b62-vlsat2_16676_1598591.dimacs.cnf.xz,TIMEOUT,210.97,TIMEOUT,TIMEOUT
6296e098cc09de8bb7ce12138c2a77c8-ecarev-110-1031-23-40-6.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0d33965e0c0dbea122c1f56b4f3108f2-mm-2x2-5-5-sb.1.shuffled-as.sat03-1498.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d5c3f65d9ad61405b5962f86dcaf338f-rbsat-v2400c266431gyes1.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8561abec7ab02c2dbe055425b8007849-Urquhart-s4-b1.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
81f247cf04746d7e0fb3ea77a760a0af-dislog_a19_x19_n29.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0b9f8c85eaff9eed98a0c5cd3189afb7-transport-transport-city-sequential-25nodes-1000size-3degree-100mindistance-3trucks-10packages-2008seed.040-NOTKNOWN.cnf.xz,590.51,601.96,303.15,1563.94
10b350de2bd98589f455af8ae8f7d398-12pipe_bug4_q0.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c502ef60c01f7ce1f3fb241b08253e81-barman-pfile10-039.sas.ex.15.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
267af66281a78674c63e3b745b1ece66-driverlog8_ks99i.shuffled-as.sat05-4025.cnf.xz,0.91,0.1,0.68,0.35
2e8d7161c0fc7c711333eacff1cdb196-bf1355-741.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
91c69a1dedfa5f2b3779e38c48356593-Problem14_label20_true-unreach-call.c.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8d04ddb02298c335394dc78b177bb0e4-53-131674.cnf.xz,TIMEOUT,2706.62,TIMEOUT,TIMEOUT
3a1aeb4f09c3e2c147b5abb785019137-hsat_vc11773.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
89d1a19b5a8f40eb71dcadae8b0dfd20-mul_03_3000_1.smt2-cvc4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
556deccbd6591671e3aa80fde2d8f01c-frb50-23-1.used-as.sat04-885.cnf.xz,TIMEOUT,311.58,TIMEOUT,14.68
c8e2565d26037b35ca703cb2843da60f-clus-1200-4919-10-10-003.shuffled-as.sat03-1092.cnf.xz,0.23,0.09,0.52,0.01
b45c330de5e628bc623a52c4c6555445-mulhs064.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
26e9e6f76821074fec971ba27aae0bea-sha1r17m149ABCD_p.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
313e465608f8f187130fd1456bdcae6e-gensys-brn007.shuffled-as.sat05-3426.cnf.xz,3.91,0.37,28.37,3.49
c6487f6dfcc1438eccca1876a33d9a9c-genurq7Sat.shuffled-as.sat03-1513.cnf.mis-135.debugged.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
529bb3dc6340f2fc0ea617190acc4c31-Sz512_15128_0.smt2-stp212.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cea8db050e344e2cd8181ff4c8727161-mp1-9_11.cnf.xz,10.07,4.05,79.03,38.63
08469bbccc41da0c124d69c61ce7dc58-barman-pfile07-027.sas.cr.37.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1a5c0e7d9b8b53adec4cb83a17b24619-gensys-brn008.shuffled-as.sat05-3427.cnf.xz,1.5,0.13,15.08,23.54
f959755d7c68ea8b64d900e589fbe21f-g2-slp-synthesis-aes-top29.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
c12d5e3213fbe4071aa8a64618c67445-sgen1-sat-100-100.cnf.xz,0.08,0.01,0.57,0.16
924b11330949de74d5adbac047961865-een-tip-uns-nusmv-t5.B.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
08acbb7417346eb7dc0c860817be0cc3-MD5-28-3.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
7042dbc5432e4d78f81ec4041e10a387-mp1-blockpuzzle_9x9_s1_free8.cnf.xz,94.95,3.74,95.75,1421.82
671ea3307f4d05a2b0116d5ca6c837dc-gus-md5-14-sc2009.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
91eba6d10294887fa57557b590e655ae-ph10.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
882120c8bf49526c88887be7f345eb19-rbsat-v760c43649g3.cnf.xz,2150.99,42.03,210.06,6.17
a0aeb24e2a6113be5c5221653fbf90d4-ex009_10.cnf.xz,TIMEOUT,1242.91,TIMEOUT,TIMEOUT
317384b26ed348c42d03fb1527104cf1-hgen3-v500-s1803930514.shuffled-as.sat03-1693.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cd16ed7d0232ac2aeedf8b1cb046b33c-mp1-ps_5000_21250_3_0_0.8_0_1.70_6.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
075c4fe7ae4cef57f1a4c00e58142e23-x1.1_64.shuffled-as.sat03-1585.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
478d5f1abd3cfec18bca8be7f7afbb1b-gensys-icl004.shuffled-as.sat05-2716.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
bfcd19c7273231a512e23d30571b8bc2-tph7.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1b7ace91c2783cc58a4c3bba7f95d122-rope_0007.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
02197ec055ea06c347bf1c6ceb6facf7-slp-synthesis-aes-bottom24.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
79d2eae74f2b790d821578d9b7f675c0-Mycielski-10-hints-6.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
eddc5dc96abde35c9c7bea514fc682c3-bevhcube5.shuffled-as.sat03-1427.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b488a726f41c3263fe70633de1c7d12e-cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19-sc2018.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
cf0df5b35d072339a23cf0c1a60c6d23-jgiraldezlevy.2200.9086.08.40.117.cnf.xz,864.22,146.14,1077.18,1859.02
a1f2ff95d402d9b6ff066cf173034af7-MD5-32-3.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8dbfa762be10211ab6ef73e841104245-SAT_instance_N=49.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
578f9377bfbfcc6ea3a18eb630667956-ferry8_ks99i.renamed-as.sat05-4005.cnf.xz,123.18,78.03,195.45,TIMEOUT
cd9ef241fe64cbc04d375100ef4f8296-SGI_30_70_26_50_3-dir.shuffled-as.sat03-165.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
af8d0f51b19fa5ecfe833742f39c61c9-depots2_v01i.renamed-as.sat05-3949.cnf.xz,0.02,0.02,0.02,0.15
5ba04fc4110839423710b280f7d8096c-satsgi-n24himBHm26-p0-q256.cnf.xz,0,0,0.01,0
378a11a919176c44c31811e48589f6cc-ACG-10-10t0.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
aea96c852e73cccf900a701c3a4ba53c-dated-5-15-s.cnf.xz,TIMEOUT,77.02,TIMEOUT,TIMEOUT
ef7c4d1f09b699b8ab468c939e8fdb78-ctl_4291_567_8_unsat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1b8d4c52a9e18659d8912ee6aaf785ff-rand_net50-25-10.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
d9b1ff2d48c5c8859d1fb8106023287a-traffic_pcb_unknown.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
dba9378866ed156e90dbc190adfd2beb-iso-ukn004.shuffled-as.sat05-2739.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ffab5112bbf8e8831bc954e9211a6b27-ablmulub8x16o.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
afe564daa71f0438f2288695da75182b-fsf-300-354-2-2-3-2.104.opt.cnf.xz,73.8,8.96,88.12,349.78
b11a27554d39876c91a3f5f4ffd1b113-mod3block_4vars_11gates_b2_restricted.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
2b3de92685792ae19e4549b5c4571e27-crafted_n12_d6_c4_num4.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
82426f21121fa8474900bdd2b339cc20-sokoban-p20.sas.cr.35-sc2016.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
816c8c3f443d22ccb9c0783c66adc630-sha1r17m75a.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
ece716573a40e866f2a5b822c3334f02-Ptn-7824-b16.cnf.xz,0.51,0.46,0.25,56.15
801b1e85dd09faed4459f29dc2ed8557-rphp4_105_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
29b0e163eb738cfdf3ff019123075c9f-sgen1-unsat-115-100.cnf.mis-87.debugged.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
870ebd2501c12dd597ca5fda0d9c1a90-Sz1024_34824.smt2-stp212.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
90fda6e7338d52aeb796636fde412daf-battleship-12-12-unsat.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
59ded647826181af059f60779b875e67-vda_gr_rcs_w9.shuffled.cnf.xz,0.31,0.2,0.13,2.48
fdd731b1dcf176619a899d610c20aeb5-sv-comp19_prop-reachsafety.25_stack_longest_false-unreach-call.i-witness.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
8914ae2b6b8b807d744b5665c373269a-hid-uns-enc-7-1-0-0-0-0-11545.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
85b16bb91702e4fc03bce7dd02bc9c48-urqh1c3x4.shuffled-as.sat03-1464.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
0dba42843f43e4bbff9c41939eabf06d-SGI_30_70_25_50_7-log.shuffled-as.sat03-162.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
245af97c72f3fee23a11cc8c6b6eb4a0-Nb29T6.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
fee70cede2b5b55bfbdb6e48fbe7ce4f-DLTM_twitter690_74_16.cnf.xz,TIMEOUT,585.35,TIMEOUT,TIMEOUT
6486cd04a3965e50cc0fa261511b86fc-example2_gr_2pin_w5.shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
08f2462515d5c1ffd0881dd5801f54bd-SGI_30_70_28_60_5-dir.shuffled-as.sat03-177.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3afd64a14c16c4ccb336e4e7a3e05011-mod2c-rand3bip-sat-170-1.shuffled-as.sat05-2413.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
87d08b9b2233029ecb6060bde0e2d192-gss-31-s100.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3f8542ca6e260ae6a8bf36ce4c6864cf-connm-ue-csp-sat-n1200-d-0.04-s1819178820.used-as.sat04-974.cnf.xz,928.27,242.54,1320.54,679.71
6d6b5efe28f4fc13c982cd8404245950-complete-400-0.1-12-98765432140012.cnf.xz,TIMEOUT,918.82,0.1,0.07
a5a8138408bf154218b9e6890e3b7f54-shuffling-2-s1338284274-of-bench-sat04-725.used-as.sat04-751.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
44449aff160e53f973b63b5816064ab9-11pipe_k.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3c7895272d4123b866a3edb5a1f970c3-fixedbandwidth-eq-33_shuffled.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4949bd3c227f6766caa26fcb903d4265-ibm-2004-19-k90.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
