benchmark,YalSAT-DDFW,TaSSAT-LiWeT,UBCSAT-DDFW,YalSAT-prob 
3162e4e702f5d98d046005cb87afdbfc-pbl-00400.shuffled-as.sat05-1322.shuffled-as.sat05-1322.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,555.85
b2e11db374c01a834f5693a656598698-IBM_FV_2004_rule_batch_07_SAT_dat.k95.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3fac9d4ad62698423574608cd2c44795-course0.2_2018_3-sc2018.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
5d357f1e4b5abc96c90d305f629edd5c-ps_200_323_70.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
b5a4679f784c762bdaec484352c454f4-sgen1-unsat-103-100.cnf.mis-78.debugged.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
99d81725dcbb49eefb7b78d03dc595c3-hsat_vc12016.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
79f7c3e7a56d73819387079a7fedb5e6-rook-61-1-1.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
652cc8db19b8da9567e18afaa22c3d75-fphp-025-024.shuffled-as.sat05-1233.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
df4c86b3a6551fa9f72a188b0701bea5-DLTM_twitter799_70_13.cnf.xz,TIMEOUT,112.77,TIMEOUT,TIMEOUT
c88e69b47ae3e630c80930530203b7f3-rbsat-v945c61409gyes5.cnf.xz,1130.03,110.1,4403.9,68.54
94fab1e70331781adbb87122b17c3b99-ferry8_v01i.renamed-as.sat05-4007.cnf.xz,1505.45,21.2,1973.42,TIMEOUT
df46bc9454a43c39d536e4595c5bed40-vmpc_32.shuffled-as.sat05-1951.cnf.xz,TIMEOUT,4671.71,2153.92,TIMEOUT
4cf086b73f9e600cc867f69c09e046b5-sgen1-unsat-127-100.cnf.mis-96.debugged.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
06e928088bd822602edb83e41ce8dadb-satcoin-genesis-SAT-10.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
42b879c316e63ffcb22776b18bbb1cb1-ndist.b.24491.cnf.xz,TIMEOUT,137.28,44.07,1.2
bc2e7477ffd668db449bad5155548186-satcoin-genesis-SAT-9.cnf.xz,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
